name	auc	n_pred_pos	wr_pred_pos	avg_pnl_pos	total_pnl_pos	wr_pred_neg	avg_pnl_neg	split
11_xgb_shorts_only	0.648	339	62.832	4.970	1684.670	42.353	-64.164	val
12_xgb_high_vol	0.582	332	56.928	0.696	231.200	41.026	-44.985	val
10_xgb_tuned	0.553	605	59.174	1.734	1049.010	52.381	-17.510	val
8_xgb_asset_dummies	0.551	650	58.923	1.874	1217.830	51.515	-23.308	val
xgb_6_add_pca	0.548	649	58.706	3.978	2581.400	52.410	-31.382	val
xgb_4_add_regime	0.547	597	59.296	5.141	3068.900	52.294	-26.133	val
14_xgb_high_z	0.544	188	54.787	-19.578	-3680.610	53.488	-18.762	val
xgb_5_add_time	0.537	626	59.105	5.603	3507.740	51.852	-32.464	val
xgb_7_add_interactions	0.529	657	58.600	1.214	797.870	52.532	-21.683	val
xgb_1_baseline_z_vol	0.519	641	58.346	1.250	801.350	54.023	-19.709	val
xgb_2_add_direction	0.517	621	59.259	2.620	1627.200	51.546	-21.934	val
13_xgb_top10_assets	0.508	121	61.983	0.524	63.400	63.736	24.072	val
xgb_3_add_asset_wr	0.503	634	58.360	-0.029	-18.640	54.144	-14.416	val
9_logistic_full	0.501	799	57.322	-3.852	-3078.050	62.500	28.127	val
best_on_test	0.554	624	59.936	6.286	3922.240	51.562	-13.697	test
